Stringlaenge,Iterativ,Rekursiv
100,58100,63700
200,51200,55000
300,23900,81200
400,26200,91700
500,31100,184200
600,85600,263400
700,45500,496000
800,84000,213300
900,181900,413600
1000,77900,360700
Stringlaenge,Iterativ,Rekursiv
100,167700,73000
200,93900,82200
300,38100,173800
400,48500,189400
500,54700,197800
600,204500,387000
700,109700,518400
800,89000,859900
900,213200,623600
1000,68600,730400
Stringlaenge,Iterativ,Rekursiv
100,89800,54000
200,80100,79300
300,21200,102200
400,33600,147400
500,60600,213300
600,64600,293100
700,131600,1338300
800,90600,347000
900,187800,489100
1000,90200,573200
Stringlaenge,Iterativ,Rekursiv
100,95300,125800
200,85900,72000
300,39300,137700
400,35700,205300
500,66700,233400
600,66800,292600
700,46600,353200
800,91900,274600
900,51600,196800
1000,56800,228400
