Stringlaenge   Iterativ   Rekursiv
    1      18900,      1800
    2       2700,       900
    3       1300,       400
    4       1300,       400
    5       1200,       300
    6       1200,       400
    7       1300,       400
    8       1100,       300
    9       1200,       400
   10       1200,       400
   11       1200,       400
   12       1300,       300
   13       1200,       300
   14       1300,       400
   15       1200,       400
   16       1300,       400
   17       1200,       400
   18       1300,       400
   19       1300,       400
   20       1300,       400
   21       1200,       400
   22       1100,       400
   23       1300,       400
   24       1200,       300
   25       1100,       300
Stringlaenge   Iterativ   Rekursiv
    1          0,         0
    2          0,         0
    3          0,         0
    4          0,         0
    5          0,         0
    6          0,         0
    7          0,         0
    8          0,         0
    9          0,         0
   10          0,         0
   11          0,         0
   12          0,         0
   13          0,         0
   14          0,         0
   15          0,         0
   16          0,         0
   17          0,         0
   18          0,         0
   19          0,         0
   20          0,         0
   21          0,         0
   22          0,         0
   23          0,         0
   24          0,         0
   25          0,         0
Stringlaenge   Iterativ   Rekursiv
    1      18200,      1900
    2       2500,       900
    3       1300,       400
    4       1700,       300
    5       1300,       500
    6       1400,       300
    7       1900,       400
    8       1300,       400
    9       1300,       400
   10       1400,       400
   11       1300,       400
   12       1400,       400
   13       1500,       400
   14       1400,       500
   15       2400,       400
   16       1700,       500
   17       1400,       300
   18       1300,       300
   19       1200,       400
   20       1300,       400
   21       1100,       400
   22       1200,       400
   23       1200,       300
   24       1300,       400
   25       1100,       400
Stringlaenge   Iterativ   Rekursiv
    1      19100,      1900
    2       2600,       900
    3       3500,       500
    4       1200,       300
    5       1300,       400
    6       1400,       500
    7       1400,       400
    8       1200,       400
    9       1300,       400
   10       1200,       400
   11       1200,       300
   12       1300,       400
   13       2000,       800
   14       1300,       400
   15       1900,       400
   16       1200,       400
   17       1400,       400
   18       1200,       400
   19       1200,       400
   20       1300,       400
   21       1200,       400
   22       1300,       400
   23       1300,       400
   24       6800,      2300
   25       1300,       400
Stringlaenge   Iterativ   Rekursiv
    1      19300,      1900
    2       4400,      1100
    3       1300,       400
    4       1200,       500
    5       1300,       400
    6       1300,       400
    7       1700,       400
    8       1300,       500
    9       1300,       400
   10       1300,       500
   11       1300,       400
   12       1400,       400
   13       1500,       400
   14       1500,       400
   15       2100,       300
   16       1400,       400
   17       1300,       400
   18       1300,       400
   19       1200,       400
   20       1500,       400
   21       1200,       300
   22       1300,       400
   23       1200,       400
   24       6800,       500
   25       1300,       400
Stringlaenge   Iterativ   Rekursiv
    1      40400,      1800
    2       4900,       900
    3       1400,       400
    4       3900,       400
    5       1200,       400
    6       3200,       300
    7       1900,       500
    8       4500,       400
    9       1400,       300
   10       4000,       500
   11       1400,       400
   12       1400,       400
   13       1500,       400
   14       1400,       400
   15       2300,       400
   16       1300,       400
   17       1400,       400
   18       1300,       300
   19       1300,       400
   20       1300,       400
   21       1400,       300
   22       1500,       400
   23       1400,       400
   24       2800,       400
   25       1300,       300
Stringlaenge   Iterativ   Rekursiv
    1      34200,      1900
    2       2900,       900
    3       1300,       300
    4       1200,       400
    5       1300,       400
    6       1200,       400
    7       1800,       700
    8       1400,       400
    9       1400,       300
   10       1300,       400
   11       1300,       300
   12       1300,       400
   13       1400,       400
   14       1400,       400
   15       1700,       400
   16       1300,       500
   17       1300,       400
   18       1200,       400
   19       1100,       400
   20       1300,       300
   21       1200,       400
   22       1300,       400
   23       1200,       300
   24       6700,      2500
   25       1300,       400
Stringlaenge   Iterativ   Rekursiv
    1      39000,      4600
    2      10300,      7200
    3       2700,       700
    4       9600,       500
    5       1400,       500
    6      10400,       600
    7       1900,       700
    8       5400,      1000
    9       2800,       600
   10       8600,       900
   11       2200,       800
   12      10000,       600
   13      38600,     24200
   14       3200,      1000
   15       3400,       800
   16       3000,      1200
   17       1800,       700
   18       2000,       600
   19       2100,       500
   20       3600,      1400
   21       2600,       900
   22       2900,       700
   23       3100,       800
   24      31200,       800
   25       1900,       600
Stringlaenge   Iterativ   Rekursiv
    1      29900,      3000
    2       6700,      7100
    3       2000,       600
    4       1900,       700
    5       1400,       500
    6       1300,       600
    7       1900,       500
    8       2200,       800
    9       1400,       400
   10       2000,      1100
   11       2100,       600
   12       2200,       900
   13       2000,       600
   14       3200,       600
   15       2200,       500
   16       2000,       600
   17       2200,       500
   18       2800,       600
   19       2100,       600
   20       2300,       600
   21       1500,       400
   22       1300,       400
   23       1400,       400
   24       4800,       500
   25       2000,       500
Stringlaenge   Iterativ   Rekursiv
    1      20600,      1800
    2       2700,      1100
    3       1400,       500
    4       1400,       400
    5       1800,       500
    6       1800,       500
    7       1800,       600
    8       1600,       500
    9       1600,       500
   10       1700,       700
   11       2100,       500
   12       1700,       500
   13       2800,       900
   14       1800,       500
   15       2400,       500
   16       2600,       600
   17       2300,       800
   18       3100,      1100
   19       2800,      1200
   20       2300,       600
   21       3400,      1000
   22       3100,      1000
   23       2700,       700
   24      64500,       800
   25       2600,       600
Stringlaenge   Iterativ   Rekursiv
    1      35000,      2900
    2       7600,      1500
    3       1900,       500
    4       3800,       500
    5       1900,       700
    6       2000,       500
    7       1600,       500
    8       4200,       700
    9       1400,       400
   10       1300,       400
   11       2100,       500
   12       2300,       600
   13       2200,       600
   14       2100,       600
   15       1800,       600
   16       2000,       500
   17       1900,       600
   18       1800,       600
   19       1900,       800
   20       1700,       600
   21       1900,       600
   22       1900,       600
   23       2000,       600
   24       6200,       600
   25       1800,       600
